maintype,type,exercise1,exercise2,exercise3,exercise4,exercise5,level
Fitness,full_body,Jumping Jacks,Burpees,Mountain Climbers,High Knees,Plank,0
Fitness,arms,Bicep Curls,Tricep Dips,Push-ups,Hammer Curls,Shoulder Press,1
Fitness,legs,Squats,Lunges,Deadlifts,Calf Raises,Glute Bridges,1
Meditation,sleep,Body Scan,Box Breathing,Progressive Muscle Relaxation,Guided Imagery,4-7-8 Breathing,0
Yoga,hatha,Mountain Pose,Downward Dog,Warrior II,Tree Pose,Bridge Pose,0
Fitness,full_body,Jumping Jacks,Burpees,Mountain Climbers,High Knees,Plank,0
Fitness,full_body,Battle Ropes,Thrusters,Kettlebell Swings,Rowing Machine,Box Jumps,1
Fitness,full_body,Bear Crawls,Medicine-Ball Slams,Russian Twists,Farmer Carry,Sled Push,1
Fitness,full_body,Step-Up Knee Drives,Inchworms,Skaters,Star Jumps,Wall Sit,0
Fitness,full_body,Man Makers,Tire Flips,Devil Press,Jump Rope,Renegade Rows,0
Fitness,arms,Bicep Curls,Tricep Dips,Diamond Push-ups,Reverse Curls,Overhead Extensions,1
Fitness,arms,Close-Grip Bench,Skull Crushers,Z-Bar Curl,Cable Push-downs,Spider Curls,1
Fitness,arms,Resistance-Band Curls,Chair Dips,Arnold Press,Plank-Up-Downs,Forearm Rollers,0
Fitness,arms,Chin-Ups,Alternating Hammer Curls,TRX Tricep Press,Cable Kick-backs,Bodyweight Rows,0
Fitness,arms,Preacher Curl,Incline DB Curl,Single-Arm Overhead Press,Diamond Pike Push-ups,Tricep Kick-backs,1
Fitness,legs,Squats,Lunges,Deadlifts,Calf Raises,Glute Bridges,1
Fitness,legs,Jump Squats,Box Step-Ups,Bulgarian Split Squats,Romanian Deadlift,Sumo Squats,0
Fitness,legs,Leg Press,Hip Thrusts,Pistol Squats,Cycling Sprints,Hamstring Curls,1
Fitness,legs,Wall Sit,Side Lunges,Curtsy Lunge,Jump Rope,Butt Kicks,0
Fitness,legs,Walking Lunges,Frog Jumps,Reverse Lunge-Knee Drive,Hill Sprints,Cossack Squats,1
Fitness,shoulders,Shoulder Press,Lateral Raises,Front Raises,Face Pulls,Handstand Holds,1
Fitness,shoulders,Pike Push-ups,Arnold Press,Y-Raises,DB Shrugs,Monkey Rows,0
Fitness,shoulders,Landmine Press,Cable Lateral Raise,Overhead Carry,Scaption,Plate Raises,1
Fitness,shoulders,Seated Military Press,Push Press,Reverse Flyes,Wall Angels,Plank to Downward Dog,0
Fitness,shoulders,DB Upright Row,Standing Arnold Curl-Press,Behind-Neck Press,Prone T,TRX Y-Fly,1
Fitness,core,Plank,Bicycle Crunch,Leg Raises,Russian Twist,Superman,0
Fitness,core,Flutter Kicks,Hanging Knee Raises,Ab Roll-Out,Mountain Climbers,Side Plank,1
Fitness,core,Dead Bug,V-Ups,Toe Touches,Side Bends,Cable Woodchop,0
Fitness,core,Dragon Flag,Turkish Get-Up,Windshield Wipers,Medicine-Ball Slam,Weighted Sit-ups,1
Fitness,core,Bird Dog,Plank Jacks,Cross-Body Mountain Climbers,Reverse Crunch,Stability-Ball Pike,0
Fitness,cardio,Running,Cycling,Jump Rope,Rowing,Burpee Intervals,0
Fitness,cardio,HIIT Sprints,Box Jumps,Battle Ropes,Shadow Boxing,Jumping Lunges,0
Fitness,cardio,Stair Climber,Elliptical,Speed Skaters,Tuck Jumps,Jumping Jacks,0
Fitness,cardio,Jump Squats,High-Knee Run,Butt Kicks,Kettlebell Swing,Jump Rope Double‐Under,0
Fitness,cardio,Tempo Cycling,Rowing Sprints,Arc Trainer,Agility Ladder,Medicine-Ball Sprawl,0
Meditation,health,Body Scan,Belly Breathing,Loving-Kindness,Guided Healing,Grounding Visualization,0
Meditation,health,Chakra Balancing,Sunlight Meditation,Qi Gong Breath,Self-Compassion Pause,Metta Chant,0
Meditation,health,Walking Meditation,Progressive Relaxation,Healing Mantra,Rainfall Focus,Candle Gazing,0
Meditation,health,Sound Bowl Session,Color Visualization,Five-Senses Check-In,Heart Coherence,Inner-Smile Technique,0
Meditation,health,Mindful Shower,Gratitude Breath,Healing Affirmations,Breath-Counting,Whole-Body Relax,0
Meditation,heart,Heart Coherence,4-7-8 Breathing,Compassion Meditation,Gratitude Journal Visual,Smile Breath,0
Meditation,heart,Metta Bhavana,Heart-Chakra Chant,Butterfly Hug,Tonglen Practice,Soft Belly Breath,0
